time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate
1364357009,network,wifi,67.993,43.7066671,-72.2890974,0.0,0.0,0.0,stationary,
1364358209,network,wifi,23.0,43.706637,-72.2890664,0.0,0.0,0.0,moving,
1364359405,gps,,16.0,43.70667831,-72.28901794,136.300003052,96.2,0.25,,
1364360609,network,wifi,71.126,43.7066653,-72.289087,0.0,0.0,0.0,stationary,
1364361805,gps,,16.0,43.70680825,-72.2893695,154.5,0.0,0.0,,
1364363013,gps,,12.0,43.70681335,-72.28901799,130.800003052,0.0,0.0,,
1364364209,network,wifi,67.267,43.7066753,-72.2890873,0.0,0.0,0.0,stationary,
1364365411,gps,,7.0,43.70681149,-72.28936715,149.199996948,0.0,0.0,,
1364366611,gps,,6.0,43.70677916,-72.28935243,120.900001526,96.2,0.559017,,
1364367813,gps,,10.0,43.70672277,-72.28917474,141.100006104,0.0,0.0,,
1364369012,gps,,12.0,43.70685684,-72.28928107,151.0,0.0,0.0,,
1364370209,network,wifi,70.633,43.7066834,-72.2890925,0.0,0.0,0.0,stationary,
1364371412,gps,,10.0,43.70683226,-72.28938812,177.0,0.0,0.0,,
1364372610,gps,,9.0,43.70682771,-72.28925635,162.199996948,96.2,0.75,,
1364373812,gps,,10.0,43.70689648,-72.28906596,116.800003052,0.0,0.0,,
1364375012,gps,,10.0,43.70668901,-72.28915945,142.800003052,0.0,0.0,,
1364376209,network,wifi,70.688,43.7066603,-72.2890942,0.0,0.0,0.0,stationary,
1364377409,network,wifi,67.073,43.7066783,-72.2890673,0.0,0.0,0.0,stationary,
1364378612,gps,,17.0,43.70681643,-72.28906892,126.599998474,0.0,0.0,,
1364379809,network,wifi,168.684,43.7066799,-72.2890149,0.0,0.0,0.0,stationary,
1364381009,network,wifi,84.674,43.706673,-72.2890497,0.0,0.0,0.0,stationary,
1364382209,network,wifi,67.398,43.7066739,-72.2890868,0.0,0.0,0.0,stationary,
1364383411,gps,,18.0,43.70680785,-72.28932163,194.899993896,0.0,0.0,,
1364384609,network,wifi,20.0,43.706674,-72.2890516,0.0,0.0,0.0,stationary,
1364385811,gps,,17.0,43.70696894,-72.28921631,155.699996948,0.0,0.0,,
1364387009,network,wifi,81.328,43.7066622,-72.2891053,0.0,0.0,0.0,stationary,
1364387817,gps,,15.0,43.7066052,-72.2894836,154.100006104,0.0,0.0,,
1364390609,network,wifi,21.523,43.7045462,-72.2947767,0.0,0.0,0.0,stationary,
1364391809,network,wifi,20.911,43.7045952,-72.294811,0.0,0.0,0.0,stationary,
1364393011,network,wifi,36.285,43.7087856,-72.283752,0.0,0.0,0.0,moving,
1364394209,network,wifi,36.59,43.7087814,-72.2837016,0.0,0.0,0.0,moving,
1364395409,network,wifi,42.971,43.7087314,-72.283685,0.0,0.0,0.0,stationary,
1364396609,network,wifi,48.228,43.708692,-72.2836284,0.0,0.0,0.0,stationary,
1364396928,gps,,15.0,43.70757903,-72.28592356,125.5,0.0,0.0,,
1364403809,network,wifi,73.699,43.7066793,-72.289217,0.0,0.0,0.0,moving,
1364405009,network,wifi,25.0,43.7065895,-72.288993,0.0,0.0,0.0,moving,
1364406209,network,wifi,24.0,43.7066454,-72.2890557,0.0,0.0,0.0,stationary,
1364407409,network,wifi,26.0,43.7066459,-72.2890476,0.0,0.0,0.0,stationary,
