time,latitude,longitude,altitude,travelstate
1364356963,43.7591346,-72.3292405,0,stationary
1364358144,43.759503,-72.32901795,250.8999939,
1364359364,43.7591344,-72.3292382,0,stationary
1364360563,43.7591346,-72.3292405,0,stationary
1364361763,43.7591346,-72.3292405,0,stationary
1364362963,43.7591347,-72.3292394,0,stationary
1364364163,43.7591343,-72.3292408,0,stationary
1364365364,43.6080524,-72.1621712,0,stationary
1364365368,43.6080524,-72.1621712,0,stationary
1364367763,43.6962928,-72.2833023,0,moving
1364367768,43.6962928,-72.2833023,0,moving
1364372563,43.6962928,-72.2833023,0,moving
1364373763,43.6962928,-72.2833023,0,stationary
1364374963,43.6962928,-72.2833023,0,stationary
1364376163,43.6962928,-72.2833023,0,stationary
1364377363,43.6962928,-72.2833023,0,stationary
1364378563,43.6962928,-72.2833023,0,stationary
1364379763,43.6962928,-72.2833023,0,stationary
1364380963,43.6962928,-72.2833023,0,stationary
1364382163,43.6962928,-72.2833023,0,stationary
1364383363,43.7591347,-72.3292323,0,stationary
1364384563,43.7064748,-72.2873142,0,moving
1364385763,43.7051079,-72.2885239,0,moving
1364386963,43.7067246,-72.2872964,0,moving
1364388163,43.7067252,-72.2873436,0,stationary
1364389363,43.7067224,-72.2873274,0,stationary
1364390563,43.706725,-72.2872925,0,stationary
1364391763,43.7067134,-72.2873292,0,stationary
1364392963,43.7089012,-72.2836734,0,moving
1364394163,43.7089485,-72.2839745,0,moving
1364395363,43.708769,-72.2837629,0,stationary
1364396563,43.7086929,-72.2837648,0,stationary
1364397694,43.70673733,-72.28614252,129.5,
1364398965,43.70091647,-72.28977248,169.1999969,
1364400163,43.7067104,-72.2873492,0,moving
1364401363,43.7067091,-72.2873317,0,moving
1364402563,43.7066997,-72.2872841,0,stationary
1364403763,43.7066966,-72.2873442,0,stationary
1364404963,43.7067238,-72.2873632,0,stationary
1364406163,43.7066314,-72.2871439,0,moving
1364407363,43.7089897,-72.2841332,0,moving
1364408563,43.7090517,-72.284061,0,moving
1364409763,43.7090814,-72.284146,0,stationary
1364410963,43.7090129,-72.2841928,0,stationary
1364412167,43.70465733,-72.28872263,134.8999939,
1364413360,43.706741,-72.2872573,0,moving
1364414563,43.7067339,-72.2873152,0,stationary
1364415763,43.7069237,-72.2869601,0,moving
1364416963,43.706906,-72.2869335,0,stationary
1364418163,43.7069092,-72.2869654,0,stationary
1364419363,43.7065745,-72.2870211,0,moving
1364420563,43.7065882,-72.2870886,0,moving
1364421763,43.7067121,-72.2873201,0,moving
1364422967,43.70633839,-72.28662263,176.3999939,
1364424163,43.6962928,-72.2833023,0,moving
1364425363,43.7591309,-72.3292346,0,moving
1364426557,43.77399234,-72.32462818,280.8999939,
1364427769,43.7792631,-72.32367407,301.2000122,
1364428957,43.75498205,-72.32513895,254,
1364430163,43.7591358,-72.3292384,0,stationary
1364431363,43.759136,-72.3292406,0,stationary
1364432563,43.7591342,-72.3292422,0,stationary
1364433763,43.7591351,-72.3292382,0,stationary
1364434963,43.7591344,-72.3292405,0,stationary
1364436165,43.6080507,-72.1621746,0,moving
1364437365,43.6962944,-72.2833019,0,stationary
1364438563,43.6962944,-72.2833019,0,moving
1364439763,43.6962944,-72.2833019,0,stationary
1364440963,43.6962944,-72.2833019,0,stationary
1364442163,43.6962944,-72.2833019,0,stationary
1364443363,43.6962944,-72.2833019,0,stationary
1364444563,43.6080507,-72.1621746,0,moving
1364445763,43.6080507,-72.1621746,0,stationary
1364446963,43.6080507,-72.1621746,0,stationary
1364448163,43.6080507,-72.1621746,0,moving
1364449363,43.6962944,-72.2833019,0,moving
1364450563,43.6080507,-72.1621746,0,stationary
1364451763,43.6080507,-72.1621746,0,moving
1364452963,43.6521725,-72.2227382,0,moving
1364454163,43.6080507,-72.1621746,0,stationary
1364455363,43.6962944,-72.2833019,0,moving
1364456563,43.6962944,-72.2833019,0,stationary
1364457763,43.6080507,-72.1621746,0,moving
1364458963,43.6962944,-72.2833019,0,stationary
1364460163,43.6080507,-72.1621746,0,stationary
1364461363,43.6080507,-72.1621746,0,moving
1364462563,43.6080507,-72.1621746,0,stationary
1364463763,43.6080507,-72.1621746,0,stationary
1364464963,43.6962944,-72.2833019,0,moving
1364471327,43.6962944,-72.2833019,0,moving
1364472527,43.7050675,-72.2887055,0,moving
1364473727,43.7052298,-72.2870618,0,moving
1364474927,43.7051334,-72.2879433,0,moving
1364476127,43.7050998,-72.288105,0,moving
